match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level
94,539,11,131,3113,24330,702,810,19,8,14,6,223,0,29612,0,6379,249,147,48,149,164,139,25
94,540,110,132,3193,13455,417,523,8,8,24,3,76,2.00684,19176,1903,495,92,190,48,0,119,0,20
95,541,10,0,1573,7050,354,376,2,7,4,8,105,8.98528,4961,0,0,63,65,41,37,12,12,14
95,542,15,1,46,11350,450,487,6,9,6,8,177,0,11632,0,314,41,212,37,63,32,154,16
95,543,112,2,62,6825,235,231,0,5,7,1,46,52.946,6056,0,59,180,254,0,0,46,36,11
95,544,27,3,229,5290,214,181,1,10,5,1,31,32.0658,2275,0,957,37,46,36,180,43,0,9
95,545,107,4,257,9040,352,396,4,4,7,1,61,62.543,7094,360,279,174,46,180,190,40,92,14
95,546,102,128,1796,9440,353,362,3,0,5,4,25,0,4146,4034,77,0,229,0,214,36,0,14
95,0,53,129,2979,13790,607,611,8,4,17,5,191,0,12028,0,4392,98,127,63,152,55,77,18
95,547,11,130,4008,14910,636,565,10,3,9,9,168,0,14023,0,5284,116,212,154,63,36,152,17
95,548,7,131,2589,10925,469,456,6,6,12,1,87,71.7154,10437,0,620,1,102,214,178,152,36,15
95,523,70,132,3556,14230,599,677,8,2,11,17,153,1.40488,10066,317,1441,50,36,1,143,81,116,19
96,339,63,0,2094,15975,522,583,10,4,20,4,128,0,15127,0,1835,123,212,46,137,63,149,19
96,337,30,1,3515,12545,441,467,15,5,22,1,31,85.7244,17353,2819,671,180,108,254,116,0,0,17
96,338,72,2,1231,21250,641,774,17,4,19,3,166,8.31831,22037,0,1721,36,48,116,156,212,135,22
96,0,21,3,4186,16450,611,635,14,4,12,8,144,37.7062,17404,0,6062,50,249,36,108,41,168,20
96,549,68,4,4330,9625,381,417,4,7,32,0,20,10.9539,12474,3021,698,108,92,0,180,46,0,16
96,0,37,128,829,9775,347,238,9,13,8,0,56,15.0626,11443,2302,296,23,231,43,21,60,0,12
96,550,87,129,309,10555,377,404,8,16,11,10,67,0,16089,0,195,1,41,36,50,27,108,16
96,551,81,130,1563,24245,528,692,2,7,6,4,194,33.9823,7309,2,174,151,81,242,29,145,170,21
